,Player,Role
0,David Warner,Batter
1,Prithvi Shaw,Batter
2,Abishek Porel,WK-Batter
3,Rishabh Pant (C & WK),WK-Batter
4,Tristan Stubbs,WK-Batter
5,Axar Patel,Bowling Allrounder
6,Lalit Yadav,Batting Allrounder
7,Jhye Richardson,Bowler
8,Anrich Nortje,Bowler
9,Ishant Sharma,Bowler
10,Khaleel Ahmed,Bowler
11,Kumar Kushagra,WK-Batter
12,Yash Dhull,Batter
13,Jake Fraser-McGurk,Batter
14,Sumit Kumar,Bowling Allrounder
15,Praveen Dubey,Bowler
16,Mukesh Kumar,Bowler
17,Kuldeep Yadav,Bowler
18,Ricky Bhui,Batter
19,Shai Hope,WK-Batter
20,Vicky Ostwal,Bowler
21,Swastik Chikara,Batting Allrounder
22,Mitchell Marsh,Batting Allrounder
23,Rasikh Dar Salam,Bowler
24,Ricky Ponting,Head coach
25,Biju George,Fielding coach
26,Pravin Amre,Assistant coach
27,Sourav Ganguly,Director of Cricket
28,James Hopes,Fast Bowling coach
29,Gnaneswara Rao,Assistant Fielding coach
30,Rohit Sharma,Batter
31,Ishan Kishan (WK),WK-Batter
32,Suryakumar Yadav,Batter
33,Tilak Varma,Batter
34,Hardik Pandya (C),Batting Allrounder
35,Tim David,Batter
36,Mohammad Nabi,Bowling Allrounder
37,Romario Shepherd,Bowler
38,Piyush Chawla,Bowler
39,Gerald Coetzee,Bowler
40,Jasprit Bumrah,Bowler
41,Akash Madhwal,Bowler
42,Kwena Maphaka,Bowler
43,Naman Dhir,Batter
44,Nehal Wadhera,Batter
45,Shams Mulani,Batting Allrounder
46,Dewald Brevis,Batter
47,Nuwan Thushara,Bowler
48,Vishnu Vinod,WK-Batter
49,Shreyas Gopal,Bowling Allrounder
50,Luke Wood,Bowler
51,Arjun Tendulkar,Bowling Allrounder
52,Kumar Kartikeya,Bowling Allrounder
53,Shivalik Sharma,Batter
54,Anshul Kamboj,Bowler
55,Mark Boucher,Head coach
56,Kieron Pollard,Batting coach
57,James Pamment,Fielding coach
58,Sachin Tendulkar,ICON
59,Lasith Malinga,Bowling Coach
60,Jagadeesh Arunkumar,Assistant Batting Coach
